,exchange_rate,interest_rate,cpi,gdp,trade_balance,oil_price,gas_price
2018-01-01,9.646413636363636,0.5,-0.1,0.7,32.69499936378675,69.02238028390067,18.58833358401344
2018-02-01,9.67115,0.5,0.9,0.2,4.904828115261073,65.70368415430973,18.4734212975753
2018-03-01,9.58014,0.5,0.3,0.7,-37.81535648994515,66.80904751732236,18.510000047229585
2018-04-01,9.620215,0.5,0.4,1.0,42.65030133764516,71.7623806908017,19.239999771118164
2018-05-01,9.567368421052631,0.5,0.1,0.6,22.40197846359937,77.17681884765625,21.5622727654197
2018-06-01,9.47464761904762,0.5,0.6,2.4,17.982068442985224,75.97952379499164,21.7476190839495
2018-07-01,9.497509090909091,0.5,0.7,0.5,11.109921866638128,74.7952386765253,22.195714133126394
2018-08-01,9.616130434782608,0.5,-0.4,1.3,18.283402369713908,73.92260808530061,23.89304360099461
2018-09-01,9.620475,0.575,0.6,0.1,-22.116350408556617,79.15999964663857,27.951315930015163
2018-10-01,9.479330434782609,0.75,-0.2,-0.3,3.373997908678983,80.62956635848336,26.113260683806047
2018-11-01,9.627186363636364,0.75,0.5,-0.5,-30.84496594510756,66.23285729544503,24.8261904943557
2018-12-01,9.794555555555554,0.75,0.0,-0.4,-26.216479765967815,57.47000021683542,23.905000084324886
2019-01-01,9.763104545454546,0.75,-0.5,-1.3,9.132359743606688,60.12190500895182,21.692857015700568
2019-02-01,9.744385,0.75,0.8,-0.3,-30.70541931577354,64.2763153879266,18.085263101678144
2019-03-01,9.71805238095238,0.8214285714285714,0.2,0.9,30.58371198881511,67.02761949811664,15.628333318801154
2019-04-01,9.624673684210526,1.0,0.4,-1.1,20.456370449678808,71.62857237316314,14.940476145063128
2019-05-01,9.77933,1.0,-0.3,0.6,-6.299650019443359,70.31181820956144,13.291590864008123
2019-06-01,9.744673684210525,1.0789473684210527,0.1,-0.9,-45.25997509930634,63.03800010681152,10.842249965667724
2019-07-01,9.658726086956522,1.25,0.7,0.2,-10.505794433012017,64.25636395541105,11.03227272900668
2019-08-01,9.97419090909091,1.25,-0.7,-0.4,-23.23611279196418,59.501818050037734,11.275454477830367
2019-09-01,9.920280952380953,1.3333333333333333,0.5,-0.3,-27.762888223238214,62.468499946594235,13.094999933242798
2019-10-01,10.116491304347827,1.5,0.2,1.1,80.42339589698821,59.632173289423406,15.611739241558572
2019-11-01,10.10874761904762,1.5,0.3,1.7,152.50997943631305,62.65149974822998,15.909500026702881
2019-12-01,10.049805263157895,1.5,-0.3,1.0,-16.038323353293414,65.17380886986142,14.187619118463425
2020-01-01,9.938422727272727,1.5,0.0,0.9,-65.27072516688538,63.5999999273391,11.193095207214355
2020-02-01,10.1327,1.5,-0.1,-0.7,81.94512896336454,55.362105319374486,9.083684168363872
2020-03-01,11.294313636363636,0.9886363636363636,0.0,-9.4,-108.18058690744921,33.72909112410112,8.385000012137674
2020-04-01,11.342942105263157,0.25,0.4,-5.3,62.58278145695364,26.63142867315383,6.657142843518939
2020-05-01,10.990578947368421,0.05263157894736842,0.2,1.2,-8.418194161575022,32.256000232696536,4.937249970436096
2020-06-01,10.72702380952381,0.0,0.2,4.0,-18.458117123795404,40.77272727272727,5.311818144538186
2020-07-01,10.654447826086956,0.0,0.7,1.4,-37.272727272727266,43.24136369878595,5.332045446742665
2020-08-01,10.57974761904762,0.0,-0.4,0.7,618.1159420289855,45.01999991280692,8.255238056182861
2020-09-01,10.776909090909092,0.0,0.4,0.8,-76.7103935418769,41.86714299519857,11.443571454002743
2020-10-01,10.921981818181818,0.0,0.3,1.8,-23.48353552859619,41.524091026999734,14.175227295268666
2020-11-01,10.745309523809524,0.0,-0.7,0.2,9.17327293318233,43.78900012969971,13.941750001907348
2020-12-01,10.60504761904762,0.0,0.4,2.2,-800.207468879668,50.218181956898086,16.423181663859975
2021-01-01,10.366060000000001,0.0,1.1,4.9,136.94814814814814,55.35157916420385,20.441579116018193
2021-02-01,10.279055,0.0,0.7,-0.1,9.028385644616721,62.22789423089279,17.415000012046413
2021-03-01,10.146873913043478,0.0,-0.3,0.6,28.54685170317697,65.70217381352964,17.563912972160008
2021-04-01,10.037452631578947,0.0,0.3,1.2,-12.723054960742331,65.32857150123233,20.39285741533552
2021-05-01,10.086266666666667,0.0,-0.1,4.3,19.781230832140672,68.25849990844726,25.018000030517577
2021-06-01,10.144377272727272,0.0,0.3,2.6,48.83929333447128,73.40818162397905,29.168272712013938
2021-07-01,10.376722727272728,0.0,0.9,2.8,37.00507468677428,74.15714336576916,36.019524165562224
2021-08-01,10.419504545454545,0.0,0.0,2.4,14.537730716109332,70.51363615556197,44.713590448552914
2021-09-01,10.18605909090909,0.056818181818181816,1.0,8.5,42.65982131438073,75.0028559366862,66.83904774983723
2021-10-01,9.81434761904762,0.25,-0.3,4.2,26.542609052022236,83.74619038899739,91.33314187186105
2021-11-01,9.966099999999999,0.25,0.8,-0.1,-5.60385397795703,80.78428540910993,82.05761973063152
2021-12-01,10.136581818181817,0.36363636363636365,0.7,8.0,35.955827168435725,74.74318140203303,114.99272606589578
2022-01-01,10.006957142857143,0.5,-0.9,-4.2,-33.681371543933246,85.52699966430664,85.59360008239746
2022-02-01,10.054405,0.5,1.1,3.5,16.60602168949772,94.03368457994964,82.40305248059724
2022-03-01,9.736721739130434,0.5543478260869565,0.6,12.9,77.3283976300466,112.46304420802905,131.2738269308339
2022-04-01,9.623927777777778,0.75,1.2,-6.0,-15.546609925815169,105.91699981689453,101.51965065002442
2022-05-01,10.137305000000001,0.75,0.2,2.1,-2.409843656370869,111.4971429734003,94.3770486740839
2022-06-01,10.307238095238095,0.8690476190476191,0.9,2.3,8.992652651116062,117.66381000337147,107.70047578357514
2022-07-01,10.182285714285715,1.25,1.3,9.2,37.29458083928172,104.70499954223632,172.41529922485353
2022-08-01,9.830865217391304,1.4456521739130435,-0.2,8.0,13.71484792106723,97.74086894159731,235.95530567998472
2022-09-01,10.169727272727274,1.8863636363636365,1.4,-6.3,-30.594897365032757,90.32476116362072,201.4778086344401
2022-10-01,10.391890476190477,2.25,0.3,-18.4,-54.79762024329291,93.59380958193825,135.47933342343285
2022-11-01,10.335709090909091,2.465909090909091,-0.2,1.2,9.972552607502294,91.11428578694661,119.33623795282273
2022-12-01,10.448038095238095,2.619047619047619,0.1,8.5,41.5973377703827,81.3414284842355,116.16871497744606
2023-01-01,10.71485,2.75,0.2,-7.4,-24.23115662246097,83.87900009155274,63.68464984893799
2023-02-01,10.952935,2.75,0.4,-0.6,-2.237706461654354,83.50947329872533,52.79315828022204
2023-03-01,11.285791304347825,2.8152173913043477,0.8,-0.6,-6.855446397207965,79.2069562829059,44.02530421381412
2023-04-01,11.5265,3.0,1.1,-1.0,14.61904356394692,83.36894788240132,42.07031571237665
2023-05-01,11.723263157894737,3.210526315789474,0.5,-2.8,-37.34424419962215,75.63227358731356,32.05118179321289
2023-06-01,11.716422727272727,3.3863636363636362,0.6,-1.4,5.129334440058941,74.92571367536273,32.47385715302967
2023-07-01,11.347419047619047,3.75,0.4,-1.2,13.926620582974824,80.35549964904786,29.152749919891356
2023-08-01,11.412656521739132,3.858695652173913,-0.8,1.0,-5.688504186467524,85.10434756071672,35.00043487548828
2023-09-01,11.452480952380952,4.071428571428571,-0.1,1.1,-20.93968387270928,92.76649932861328,37.04330043792724
2023-10-01,11.628354545454545,4.25,1.0,2.9,39.63466681841461,88.70409115878019,47.06813638860529
2023-11-01,11.795763636363636,4.25,0.5,0.0,-12.49762273480588,82.02772730047053,45.73563645102761
2023-12-01,11.533263157894737,4.368421052631579,0.1,-2.5,-6.349551339770853,77.32399978637696,35.9706995010376
2024-01-01,11.350086363636363,4.5,0.1,1.6,-10.07393408925138,79.19714319138299,29.907999946957542
2024-02-01,11.384285714285713,4.5,0.2,0.0,5.469426880749162,81.62399940490722,25.866250133514406
2024-03-01,11.512042105263157,4.5,0.2,0.9,13.082462334393675,84.66549949645996,26.85285005569458
2024-04-01,11.6828,4.5,0.8,1.4,13.154762824773169,88.99999930641867,28.961809339977446
2024-05-01,11.58982105263158,4.5,-0.1,1.1,-10.116104357328236,82.99181851473722,31.812363711270418
2024-06-01,11.4178,4.5,0.2,1.1,15.93216217859097,82.88947416606702,34.4207370155736
2024-07-01,11.716034782608695,4.5,0.5,-2.2,-12.638947147651002,83.71772731434216,32.52304545315829
2024-08-01,11.78949090909091,4.5,-0.9,-0.7,-8.327581550280582,78.87500138716264,38.34704572504217
2024-09-01,11.785242857142858,4.5,0.3,-2.4,-17.600170223909917,72.6384994506836,36.082599830627444
2024-10-01,11.790708695652174,4.5,0.6,2.1,0.6098166577279907,75.37695710555367,40.42343454775603
2024-11-01,11.740761904761905,4.5,0.3,0.8,20.67522211253703,73.40699996948243,44.63360042572022
2024-12-01,11.739215789473684,4.5,-0.1,1.4,12.367069140407704,73.12857164655414,45.15361858549572
